,domain_size,number_of_trials,time
108,9000,3000,8.275473000000034
109,10000,3000,8.608540999999946
110,11000,3000,8.867530099999954
111,12000,3000,10.511446200000023
112,13000,3000,9.848943599999984
113,14000,3000,10.145906699999955
114,15000,3000,10.35266420000005
115,16000,3000,10.92735319999997
116,17000,3000,17.281817299999943
117,18000,3000,17.403971100000035
118,19000,3000,16.997884999999997
119,20000,3000,17.313969799999995
120,1000,3500,0.5502107999999453
121,2000,3500,1.1323823000000175
122,3000,3500,2.0787111000000777
123,4000,3500,3.3808866999999054
124,5000,3500,4.180871000000025
125,6000,3500,4.385432700000024
126,7000,3500,5.09151769999994
127,8000,3500,5.393181599999934
128,9000,3500,10.590163599999983
129,10000,3500,12.260807499999942
130,11000,3500,12.183380899999975
131,12000,3500,15.973289800000089
132,13000,3500,16.44716840000001
133,14000,3500,15.27076980000004
134,15000,3500,14.52535279999995
135,16000,3500,15.101416400000062
136,17000,3500,24.162871399999858
137,18000,3500,21.76651149999998
138,19000,3500,21.64314349999995
139,20000,3500,23.484013099999856
140,1000,4000,0.67216140000005
141,2000,4000,1.3929336000001058
142,3000,4000,2.45491949999996
143,4000,4000,3.04604089999998
144,5000,4000,4.692698199999995
145,6000,4000,4.999067400000058
146,7000,4000,5.325110700000096
147,8000,4000,6.839702100000068
148,9000,4000,11.779937000000018
149,10000,4000,11.919955200000004
150,11000,4000,11.986747400000013
151,12000,4000,12.609802799999898
152,13000,4000,13.576820700000098
153,14000,4000,13.522636899999952
154,15000,4000,14.705501800000093
155,16000,4000,15.187504900000022
156,17000,4000,25.896477400000094
157,18000,4000,24.195669899999984
158,19000,4000,25.741032399999995
159,20000,4000,24.51044469999988
160,1000,4500,0.7234373999999661
161,2000,4500,1.503384399999959
162,3000,4500,2.6520430999999007
163,4000,4500,3.318551700000171
164,5000,4500,6.3893970000001445
165,6000,4500,6.525622000000112
166,7000,4500,6.456273600000031
167,8000,4500,7.214033200000131
168,9000,4500,13.77384189999998
169,10000,4500,14.821369700000105
170,11000,4500,13.635523899999953
171,12000,4500,14.481928700000026
172,13000,4500,15.549660500000073
173,14000,4500,15.561119100000042
174,15000,4500,17.975767299999916
175,16000,4500,21.702134900000146
176,17000,4500,28.63511790000007
177,18000,4500,29.397851200000105
178,19000,4500,32.97266049999985
179,20000,4500,29.670694799999865
180,1000,5000,0.867656800000077
181,2000,5000,1.989864599999919
182,3000,5000,3.8737295000000813
183,4000,5000,3.9801532999999836
184,5000,5000,6.562090399999988
185,6000,5000,7.042639799999961
186,7000,5000,7.597489099999848
187,8000,5000,8.511575600000015
188,9000,5000,16.130031900000176
189,10000,5000,17.468182800000022
190,11000,5000,17.119095400000106
191,12000,5000,17.994902499999853
192,13000,5000,19.314063899999837
193,14000,5000,20.860179000000016
194,15000,5000,21.07036650000009
195,16000,5000,23.25112409999997
196,17000,5000,31.30692789999989
197,18000,5000,32.45131930000002
198,19000,5000,25.002940500000022
199,20000,5000,22.910030600000027
